id,title,category1,category2,url,image_url,created_at,updated_at
1,"구현호?! 구현호가 누군데?! [힘콩,리코구씨]",musle,,/watch?v=DDprZ1wWD6I,https://i.ytimg.com/vi/DDprZ1wWD6I/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLC0C3e03d5hCQvIbqQwDPs5jTXjBg,2017-07-09 05:20:08.998033,2017-07-09 06:39:27.908347
2,"자칼 페럴렛바 운동 모음 영상! [이토끼,쩌리짱]",body,,/watch?v=1NIF03b55z8,https://i.ytimg.com/vi/1NIF03b55z8/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDjAdGRYfs_GiOX3x5IgM87Hhh_PQ,2017-07-09 05:20:09.001043,2017-07-09 06:38:28.444062
3,[재미어트 TV] 힘콩 식단 노하우 먹방 [힘콩],body,,/watch?v=y9wQYcJbbz4,https://i.ytimg.com/vi/y9wQYcJbbz4/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDwwJcHG9TmDuYAS_EiXXBFRZIfuw,2017-07-09 05:20:09.003712,2017-07-09 06:38:29.246356
4,[재미어트 TV] 어깨 자극느끼기 개꿀팁 [힘콩],body,,/watch?v=mFhS8i1aljM,https://i.ytimg.com/vi/mFhS8i1aljM/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDWshAZ8BDV9BJD4f55hViG9eNPCA,2017-07-09 05:20:09.006383,2017-07-09 06:38:29.839374
5,[힘콩의 명품홈짐] 어깨운동 편,musle,,/watch?v=8wzRj52dTcU,https://i.ytimg.com/vi/8wzRj52dTcU/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCoMHWjJiyGbwny9Yv_iaic0BCZCQ,2017-07-09 05:20:09.008933,2017-07-09 06:40:21.308080
6,몸짱 트레이너 유석종의 파란만장 창업스토리! / YTN 사이언스,body,,/watch?v=LkPjj1F_pRo,https://i.ytimg.com/vi/LkPjj1F_pRo/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAzJFPx68Pjp20cenYVw4dwzjFptg,2017-07-09 05:20:09.011675,2017-07-09 06:38:31.658627
21,재미어트 신제품 출시 힘콩 푸쉬업바 궁금하지?! 일단 한번 보세요(웃음보장),body,,/watch?v=ONVl8Bs95Uc,https://i.ytimg.com/vi/ONVl8Bs95Uc/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD82bE-Ynh70n1Y5ZC0ZaLHmmUFWA,2017-07-09 05:21:10.113399,2017-07-09 06:38:34.176606
22,[등운동] 힘콩 4가지 등운동법,musle,,/watch?v=aBsBNTrW4ow,https://i.ytimg.com/vi/aBsBNTrW4ow/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDMdgX-wqO-J2Z-zbSoV85APTLJ-Q,2017-07-09 05:21:10.117106,2017-07-09 06:38:37.657117
23,뭐라고?!! 지하철을 탔는데.. [힘콩],body,,/watch?v=qOE_6ENxhq8,https://i.ytimg.com/vi/qOE_6ENxhq8/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAWW6kTmVHmIuivFLlFgzEmcxgvtw,2017-07-09 05:21:10.120458,2017-07-09 06:38:41.078471
24,홈트 끝판왕 치닝디핑기구 힘콩철봉에 대해 알려드립니다,body,,/watch?v=kfEC3oB91KQ,https://i.ytimg.com/vi/kfEC3oB91KQ/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCDIFi5t0f50AIhTjfboDfYYUxVug,2017-07-09 05:21:10.123164,2017-07-09 06:38:43.585567
25,"힘콩+구현호- 내가 몸짱이 될 닭 1 힘콩,리코구씨",body,,/watch?v=beSuj3I3e4g,https://i.ytimg.com/vi/beSuj3I3e4g/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAoRHt7Nu0RXKGcZ5tre7RqVofNQA,2017-07-09 05:21:10.126503,2017-07-09 06:38:45.655753
26,"힘콩+구현호- 내가 몸짱이 될 닭 2 힘콩,리코구씨",body,,/watch?v=SR_YIk_cszE,https://i.ytimg.com/vi/SR_YIk_cszE/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCibg1SxxKrlPXCuPvRHOqCR7RxVg,2017-07-09 05:21:10.129857,2017-07-09 06:38:50.421529
41,"가슴운동 루틴 순서 BEST5 (가슴근육 만들기 운동 종류, 벤치프레스 딥스 포함)",musle,,/watch?v=LbhJLS-Virg,https://i.ytimg.com/vi/LbhJLS-Virg/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCxVzK9ki7uIermkOe7JyRQ6WIN-A,2017-07-09 06:17:09.380618,2017-07-09 06:38:53.255328
42,[데스런] 가장 현실적인 최고의 가슴운동.,musle,,/watch?v=WeZi0HJr_g4,https://i.ytimg.com/vi/WeZi0HJr_g4/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAP7Skzz16dhRXq32TiRVFWMDQGgg,2017-07-09 06:17:09.384955,2017-07-09 06:38:55.418059
43,터질듯한 각진 가슴근육 만들기 (가슴운동의 진실),musle,,/watch?v=Fzj1hQlDhoY,https://i.ytimg.com/vi/Fzj1hQlDhoY/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAdGKQ0-1BaoZ7jTHiLGLJ0iFiPtw,2017-07-09 06:17:09.387944,2017-07-09 06:38:58.807676
44,이상대 1분 니트운동 - 집에서 할수있는 가슴운동3 가지,musle,,/watch?v=9p0-82GtO1E,https://i.ytimg.com/vi/9p0-82GtO1E/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBhzqHOfV3R5zqL9U5ZpprOddPpJA,2017-07-09 06:17:09.391174,2017-07-09 06:40:44.777128
45,"[개근질닷컴] MR. OLYMPIA, IFBB Pro 보디빌더 김준호 가슴 운동 / MR. OLYMPIA, IFBB Pro KIM JUN HO Chest Workout",musle,,/watch?v=_qa_vIyyb_Q,https://i.ytimg.com/vi/_qa_vIyyb_Q/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLA7FYDRLOkKPjgSBuYHXugQThUxaw,2017-07-09 06:17:09.393939,2017-07-09 06:40:45.057381
61,가슴운동 -  집에서 가슴 근육 만들기 ( 영어 버전 ),musle,,/watch?v=BSeAihI6Bq4,https://i.ytimg.com/vi/BSeAihI6Bq4/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCsvnMfy750xEqluHQNUMIakeZInw,2017-07-09 06:19:28.808685,2017-07-09 06:40:45.387389
62,운동을 전혀 알지 못하는 사람! 가슴운동 1도 모르지? 이것만 따라해! [힘콩],musle,,/watch?v=4xFxcdfavcI,https://i.ytimg.com/vi/4xFxcdfavcI/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCIjyMGMXKhf7kkNhahHmUtogbnXg,2017-07-09 06:19:28.812411,2017-07-09 06:40:45.729633
63,팀비식스 보디빌더 오성민선수의 20160816 가슴운동루틴,musle,,/watch?v=IdjN15lo8jA,https://i.ytimg.com/vi/IdjN15lo8jA/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCD84xsfjnqd7Bz_xKbScduqGGPjg,2017-07-09 06:19:28.815242,2017-07-09 06:40:46.191311
64,[데스런] 가슴운동 | 덤벨 프레스(Dumbell Press): 가슴근육에 볼륨 넣기.,musle,,/watch?v=tdjonGTo3uY,https://i.ytimg.com/vi/tdjonGTo3uY/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAqrTclRWqobECDgI83rcQtnTwFLg,2017-07-09 06:19:28.817718,2017-07-09 06:40:46.656276
65,겨드랑이 살 빼는 운동 l 여자 가슴운동 ㅣ 인클라인 푸셥,musle,,/watch?v=xob9A4vvFfE,https://i.ytimg.com/vi/xob9A4vvFfE/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCQw7MbZkyOEraLhxBQnW7GPGT_Eg,2017-07-09 06:19:28.820232,2017-07-09 06:40:47.127978
66,맨몸운동 딥스 완전분석! 팔운동/가슴운동 상체각도 변화,musle,,/watch?v=br3E4Wc3nPo,https://i.ytimg.com/vi/br3E4Wc3nPo/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD_1RJ5HS8pxQzCiZH8hdeCmXGO2w,2017-07-09 06:19:28.823947,2017-07-09 06:40:47.432019
81,복근운동 하루10분 2주만에 단기간 복근 만들기! 복근 빨리 만드는 운동 BEST5! [땅끄의 땅땅한 세상],musle,,/watch?v=L9433hhTlkQ,https://i.ytimg.com/vi/L9433hhTlkQ/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDOh6bv8H9TZLy6Q3XeYyodXobCaA,2017-07-09 06:20:08.458634,2017-07-09 06:40:47.918479
82,XHIT 레베카의 11자 복근운동 (7분),musle,,/watch?v=llwXGZlgdU0,https://i.ytimg.com/vi/llwXGZlgdU0/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCipO1faL21isf38tI7cDfuD1-6xg,2017-07-09 06:20:08.462957,2017-07-09 06:40:48.415334
83,복근운동 초간단  5가지 쉬운 동작만으로 복근 빨리만드는 운동!,musle,,/watch?v=WJdNZr6UZdw,https://i.ytimg.com/vi/WJdNZr6UZdw/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLATrqewNkHjlqAppP2N1zPmZVqbFw,2017-07-09 06:20:08.466520,2017-07-09 06:40:48.727336
84,복근운동하면 뱃살이 빠질까요?,musle,,/watch?v=Fm9ebz2wQFI,https://i.ytimg.com/vi/Fm9ebz2wQFI/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDfJ-8spYqsNEehzfYFUTaxgT7adQ,2017-07-09 06:20:08.469296,2017-07-09 06:40:49.062875
85,[Fitness] 완벽한 복근과 평평한 배 완성하기 8분 복근 운동 프로그램,musle,,/watch?v=W1r3NE5BUiA,https://i.ytimg.com/vi/W1r3NE5BUiA/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD1Mv6jm_VNHJP2xF9nWM7iWdWQKg,2017-07-09 06:20:08.472315,2017-07-09 06:40:49.367303
86,"남자 여자 뱃살 빼는 최고의 운동 BEST5 (누워서하는 복근운동, 복부비만 운동)",musle,,/watch?v=oVXQzsGGhaw,https://i.ytimg.com/vi/oVXQzsGGhaw/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBSEb2h9KcU0Xruwu2Z7_T4qs7I1Q,2017-07-09 06:20:08.477252,2017-07-09 06:40:49.838163
